sku_id,week_start,units_sold,revenue,promo_flag,is_holiday,category,on_hand_units,on_order_units,lead_time_days,reorder_point
SKU0001,2024-08-05,18,170404.02,0,0,Small Appliances,180.0,0.0,10.0,42.0
SKU0001,2024-08-12,30,284006.69999999995,0,1,Small Appliances,151.0,0.0,10.0,42.0
SKU0001,2024-08-19,35,331341.14999999997,0,0,Small Appliances,117.0,0.0,10.0,42.0
SKU0001,2024-08-26,26,246139.13999999998,0,0,Small Appliances,79.0,0.0,10.0,42.0
SKU0001,2024-09-02,29,274539.81,0,0,Small Appliances,50.0,0.0,10.0,42.0
SKU0001,2024-09-09,22,208271.58,0,0,Small Appliances,28.0,91.0,10.0,42.0
SKU0001,2024-09-16,24,227205.36,0,0,Small Appliances,95.0,0.0,10.0,42.0
SKU0001,2024-09-23,30,284006.69999999995,0,0,Small Appliances,95.0,0.0,10.0,42.0
SKU0001,2024-09-30,26,246139.13999999998,0,1,Small Appliances,58.0,0.0,10.0,42.0
SKU0001,2024-10-07,23,217738.46999999997,0,0,Small Appliances,32.0,84.0,10.0,42.0
SKU0001,2024-10-14,38,308620.61,1,0,Small Appliances,6.0,84.0,10.0,42.0
SKU0001,2024-10-21,28,255132.69,1,0,Small Appliances,50.0,0.0,10.0,42.0
SKU0001,2024-10-28,27,255606.02999999997,0,1,Small Appliances,83.0,0.0,10.0,42.0
SKU0001,2024-11-04,26,246139.13999999998,0,0,Small Appliances,54.0,0.0,10.0,42.0
SKU0001,2024-11-11,27,255606.02999999997,0,0,Small Appliances,110.0,0.0,10.0,42.0
SKU0001,2024-11-18,35,331341.14999999997,0,0,Small Appliances,77.0,0.0,10.0,42.0
SKU0001,2024-11-25,52,418436.54000000004,1,0,Small Appliances,16.0,94.0,10.0,42.0
SKU0001,2024-12-02,25,236672.25,0,0,Small Appliances,85.0,0.0,10.0,42.0
SKU0001,2024-12-09,27,255606.02999999997,0,0,Small Appliances,58.0,0.0,10.0,42.0
SKU0001,2024-12-16,30,284006.69999999995,0,0,Small Appliances,28.0,94.0,10.0,42.0
SKU0001,2024-12-23,29,274539.81,0,1,Small Appliances,28.0,94.0,10.0,42.0
SKU0001,2024-12-30,54,448730.58999999997,1,0,Small Appliances,72.0,0.0,10.0,42.0
SKU0001,2025-01-06,38,341281.39,1,0,Small Appliances,22.0,71.0,10.0,42.0
SKU0001,2025-01-13,18,170404.02,0,0,Small Appliances,68.0,0.0,10.0,42.0
SKU0001,2025-01-20,29,274539.81,0,1,Small Appliances,39.0,85.0,10.0,42.0
SKU0001,2025-01-27,36,340808.04,0,0,Small Appliances,80.0,0.0,10.0,42.0
SKU0001,2025-02-03,36,340808.04,0,0,Small Appliances,41.0,72.0,10.0,42.0
SKU0001,2025-02-10,29,274539.81,0,0,Small Appliances,84.0,0.0,10.0,42.0
SKU0001,2025-02-17,35,331341.14999999997,0,0,Small Appliances,49.0,0.0,10.0,42.0
SKU0001,2025-02-24,29,274539.81,0,0,Small Appliances,23.0,68.0,10.0,42.0
SKU0001,2025-03-03,38,359741.81999999995,0,0,Small Appliances,52.0,0.0,10.0,42.0
SKU0001,2025-03-10,34,321874.26,0,0,Small Appliances,88.0,0.0,10.0,42.0
SKU0001,2025-03-17,42,397609.38,0,0,Small Appliances,45.0,0.0,10.0,42.0
SKU0001,2025-03-24,34,321874.26,0,0,Small Appliances,45.0,0.0,10.0,42.0
SKU0001,2025-03-31,38,359741.81999999995,0,0,Small Appliances,78.0,0.0,10.0,42.0
SKU0001,2025-04-07,37,350274.93,0,0,Small Appliances,38.0,79.0,10.0,42.0
SKU0001,2025-04-14,43,407076.26999999996,0,0,Small Appliances,80.0,0.0,10.0,42.0
SKU0001,2025-04-21,38,359741.81999999995,0,0,Small Appliances,39.0,65.0,10.0,42.0
SKU0001,2025-04-28,36,340808.04,0,0,Small Appliances,54.0,0.0,10.0,42.0
SKU0001,2025-05-05,32,302940.48,0,0,Small Appliances,22.0,87.0,10.0,42.0
