sku_id,category,on_hand_units,on_order_units,lead_time_days,reorder_point,unit_price,fc_total,fc_weekly_avg,stockout_risk,overstock_risk,quadrant,recommended_action,stockout_value_at_risk,overstock_capital_locked,value_at_stake,snapshot_date
SKU0085,Decor,416.0,0.0,12.0,222.0,288.55,1050.7138743567107,131.33923429458883,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0,2025-12-31
SKU0184,Small Appliances,1736.0,0.0,29.0,992.0,1472.84,1802.152761766322,225.26909522079026,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0,2025-12-31
SKU0047,Furnishings,265.0,525.0,28.0,289.0,10078.54,357.1998778499979,44.64998473124974,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0,2025-12-31
SKU0086,Small Appliances,729.0,0.0,9.0,377.0,6415.95,1984.7384300014896,248.0923037501862,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0,2025-12-31
SKU0046,Small Appliances,2943.0,0.0,29.0,1232.0,6055.64,3287.5924467806444,410.94905584758055,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0,2025-12-31
SKU0042,Furnishings,1244.0,0.0,16.0,486.0,5409.41,2352.196220158544,294.024527519818,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0,2025-12-31
SKU0097,Decor,1601.0,0.0,25.0,721.0,5365.29,234.1373395743114,29.267167446788925,0.0,0.8537555655375944,Markdown / Clear,Promote or discount to free up capital.,0.0,4033488.01,4033488.01,2025-12-31
SKU0180,Small Appliances,17.0,29.0,19.0,57.0,1875.93,113.03360474392875,14.129200592991094,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0,2025-12-31
SKU0043,Decor,207.0,0.0,26.0,117.0,2613.73,289.6374521433047,36.20468151791309,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0,2025-12-31
SKU0096,Furnishings,166.0,217.0,14.0,514.0,6630.77,1370.9793502229163,171.37241877786454,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0,2025-12-31
SKU0008,Furnishings,113.0,0.0,8.0,95.0,4155.21,845.4538927699704,105.6817365962463,0.0644078798804302,0.0,Healthy,No action needed; leave as is.,32323.91,0.0,32323.91,2025-12-31
SKU0095,Decor,801.0,0.0,14.0,334.0,1177.35,1082.5905651261485,135.32382064076856,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0,2025-12-31
SKU0044,Decor,138.0,0.0,12.0,54.0,1867.49,169.86608985501167,21.233261231876458,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0,2025-12-31
SKU0088,Furnishings,48.0,475.0,26.0,791.0,5848.24,1239.0262854128484,154.87828567660605,0.09084936153215106,0.0,Healthy,No action needed; leave as is.,305641.91,0.0,305641.91,2025-12-31
SKU0094,Decor,94.0,418.0,23.0,708.0,7542.08,992.5742466364951,124.07178082956189,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0,2025-12-31
SKU0093,Decor,1332.0,0.0,15.0,664.0,8366.68,1995.992463617417,249.4990579521771,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0,2025-12-31
SKU0182,Decor,203.0,0.0,27.0,123.0,1201.72,271.21735125868963,33.902168907336204,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0,2025-12-31
SKU0045,Furnishings,77.0,0.0,9.0,112.0,8332.15,422.01897898125026,52.75237237265628,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0,2025-12-31
SKU0089,Small Appliances,1042.0,0.0,18.0,561.0,6127.97,1714.9307360331497,214.36634200414372,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0,2025-12-31
SKU0006,Furnishings,408.0,0.0,16.0,180.0,607.93,633.3211837384645,79.16514796730806,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0,2025-12-31
SKU0181,Decor,210.0,443.0,7.0,218.0,754.6,1953.40652347172,244.175815433965,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0,2025-12-31
SKU0005,Small Appliances,218.0,0.0,10.0,206.0,11682.31,88.50927999942996,11.063659999928745,0.0,0.5939941284429818,Markdown / Clear,Promote or discount to free up capital.,0.0,832012.9,832012.9,2025-12-31
SKU0152,Furnishings,1.0,25.0,10.0,47.0,6960.1,154.9563812124425,19.36954765155531,0.06038074159472701,0.0,Healthy,No action needed; leave as is.,11628.81,0.0,11628.81,2025-12-31
SKU0193,Decor,26.0,0.0,8.0,59.0,1266.05,231.01986845876075,28.877483557345094,0.21218897225504763,0.0,Reorder Now,Raise a replenishment order before stock runs out.,8865.94,0.0,8865.94,2025-12-31
SKU0055,Furnishings,914.0,0.0,19.0,689.0,882.67,2249.861649960895,281.2327062451119,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0,2025-12-31
SKU0068,Decor,757.0,0.0,15.0,331.0,5626.26,987.469773631265,123.43372170390812,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0,2025-12-31
SKU0056,Furnishings,109.0,289.0,10.0,368.0,6213.44,1159.2763435626819,144.90954294533523,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0,2025-12-31
SKU0067,Decor,1.0,22.0,9.0,45.0,8352.42,163.68000296883613,20.460000371104517,0.12566527055624044,0.0,Healthy,No action needed; leave as is.,27610.72,0.0,27610.72,2025-12-31
SKU0195,Furnishings,945.0,0.0,23.0,790.0,1802.26,1497.7664300363615,187.2208037545452,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0,2025-12-31
SKU0065,Small Appliances,160.0,284.0,9.0,169.0,3539.53,919.9964207666638,114.99955259583298,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0,2025-12-31
SKU0001,Small Appliances,80.0,0.0,10.0,42.0,9466.89,230.4403822512854,28.805047781410675,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0,2025-12-31
SKU0057,Furnishings,290.0,0.0,9.0,106.0,2240.83,635.5233555922534,79.44041944903168,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0,2025-12-31
