sku_id,week_start,units_sold,forecast_step
SKU0001,2025-12-29,28.52236456076704,1
SKU0004,2025-12-29,36.31104138328506,1
SKU0005,2025-12-29,4.27692116564047,1
SKU0006,2025-12-29,83.45036199071097,1
SKU0008,2025-12-29,99.7381959116421,1
SKU0010,2025-12-29,230.83344854399482,1
SKU0011,2025-12-29,120.12581014484807,1
SKU0012,2025-12-29,174.8231620192413,1
SKU0013,2025-12-29,143.0551450241552,1
SKU0014,2025-12-29,111.40018864672318,1
SKU0015,2025-12-29,106.70578134539329,1
SKU0016,2025-12-29,46.57103830514554,1
SKU0017,2025-12-29,285.46488947854556,1
SKU0018,2025-12-29,242.63928024432337,1
SKU0019,2025-12-29,70.47498035700131,1
SKU0020,2025-12-29,243.70724814967997,1
SKU0021,2025-12-29,12.052096724650248,1
SKU0022,2025-12-29,260.70353326380837,1
SKU0023,2025-12-29,31.340804235247706,1
SKU0025,2025-12-29,36.71806139277526,1
SKU0026,2025-12-29,34.876079055935,1
SKU0029,2025-12-29,12.471429314838218,1
SKU0030,2025-12-29,10.84705133275197,1
SKU0032,2025-12-29,112.1410778598284,1
SKU0035,2025-12-29,31.092568845579144,1
SKU0036,2025-12-29,9.65640485071756,1
SKU0038,2025-12-29,293.0704240342034,1
SKU0039,2025-12-29,38.07727625200687,1
SKU0040,2025-12-29,13.208417877453257,1
SKU0042,2025-12-29,277.9436686403178,1
SKU0043,2025-12-29,33.75499937764007,1
SKU0044,2025-12-29,21.43447683074453,1
SKU0045,2025-12-29,53.19978780505339,1
SKU0046,2025-12-29,464.9360463829381,1
SKU0047,2025-12-29,36.60342944181912,1
SKU0048,2025-12-29,150.84519371656793,1
SKU0050,2025-12-29,262.3468495614197,1
SKU0054,2025-12-29,45.21758809717934,1
SKU0055,2025-12-29,283.2243774234753,1
SKU0056,2025-12-29,152.57300851083048,1
SKU0057,2025-12-29,80.60418346120275,1
SKU0058,2025-12-29,42.93478662415282,1
SKU0059,2025-12-29,157.82091538858165,1
SKU0061,2025-12-29,301.7915846646085,1
SKU0062,2025-12-29,17.149062906074327,1
SKU0063,2025-12-29,166.64124737610896,1
SKU0064,2025-12-29,46.93368184574682,1
SKU0065,2025-12-29,109.87402537865877,1
SKU0067,2025-12-29,19.456895336664232,1
SKU0068,2025-12-29,158.64043024217403,1
SKU0071,2025-12-29,346.3480106917281,1
SKU0073,2025-12-29,15.838502328226436,1
SKU0075,2025-12-29,36.88612859705187,1
SKU0078,2025-12-29,102.6452068358285,1
SKU0079,2025-12-29,39.62696033823374,1
SKU0082,2025-12-29,266.47521124470813,1
SKU0083,2025-12-29,183.30262377765206,1
SKU0084,2025-12-29,198.25095998035573,1
SKU0085,2025-12-29,137.20153128903777,1
SKU0086,2025-12-29,289.60455449403884,1
SKU0088,2025-12-29,0.0,1
SKU0089,2025-12-29,266.31013360607534,1
SKU0093,2025-12-29,282.3764654893773,1
SKU0094,2025-12-29,81.95906430340412,1
SKU0095,2025-12-29,175.16891465969036,1
SKU0096,2025-12-29,172.2325930581245,1
SKU0097,2025-12-29,25.460116292326774,1
SKU0098,2025-12-29,256.32891448395145,1
SKU0099,2025-12-29,224.06933202558454,1
SKU0100,2025-12-29,211.0231295587504,1
SKU0102,2025-12-29,277.84890083929434,1
SKU0104,2025-12-29,381.7226312529153,1
SKU0105,2025-12-29,78.15065997641754,1
SKU0107,2025-12-29,47.216191566360074,1
SKU0108,2025-12-29,70.8923587758466,1
SKU0109,2025-12-29,78.7742913998704,1
SKU0110,2025-12-29,96.70238789620048,1
SKU0111,2025-12-29,79.71804181177723,1
SKU0112,2025-12-29,243.60517321596663,1
SKU0113,2025-12-29,96.22667499153073,1
SKU0117,2025-12-29,16.94384066061321,1
SKU0118,2025-12-29,14.096162921776344,1
SKU0119,2025-12-29,382.98594518598736,1
SKU0120,2025-12-29,119.63267418698176,1
SKU0123,2025-12-29,148.0372015209581,1
SKU0125,2025-12-29,16.920104850969796,1
SKU0128,2025-12-29,292.31567477910187,1
SKU0130,2025-12-29,31.078206222785944,1
SKU0135,2025-12-29,286.49817568690247,1
SKU0137,2025-12-29,30.255358064031974,1
SKU0138,2025-12-29,142.78002959954145,1
SKU0141,2025-12-29,172.69946432313242,1
SKU0143,2025-12-29,27.477863062276878,1
SKU0144,2025-12-29,178.41281857632143,1
